Charger station, Location, approx coordinates, Power, evse_uid, evse_id, Comment
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 400, a1cd7835-9bed-4c35-b73b-35ce71d40d13, SE*CKE*E16576*1,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 400, 5d0b8aa4-dc28-4ad5-9294-36dc7099fbe0, SE*CKE*E16576*2,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 400, 71197f3c-ffed-4c5c-a589-d54a1577e2ad, SE*CKE*E16577*1,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 400, f86d9c74-19dc-4a50-bee1-2fc23d945666, SE*CKE*E16577*2,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 400, 236f2dc9-6862-4be1-936f-e4919bad3836, SE*CKE*E16578*1,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 400, c79618c8-8172-4b92-9c2c-11042ba5efc4, SE*CKE*E16578*2,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 360, a232e1b7-1de8-419a-ae0a-e7b3991d1da9, SE*CKE*E3621*1,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 360, 71c51f16-c755-4a96-b451-31f6cf897d2b, SE*CKE*E3621*2,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 360, f13547a0-d400-4d02-9326-72214712fa4d, SE*CKE*E3624*1,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 360, 955ccd40-d755-4987-aabc-df90de85a33a, SE*CKE*E3624*2,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 360, 175c0fba-fe7f-4355-8b90-afeaf5c83c2e, SE*CKE*E3625*1,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 360, 6dd0235d-c775-43ef-988f-fe0c666298e0, SE*CKE*E3625*2,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 360, 6f9d1526-e6f5-46a6-828e-5f3ad0ddfef5, SE*CKE*E3626*1,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 360, afd49695-ec51-4110-a2f5-064ea64afc7f, SE*CKE*E3626*2,
Circle K, Vädermotet, "57°42'24.9""N 11°52'16.0""E", 999, 8e912b38-9dac-4191-981e-57ab7027d5b6, SE*CKE*E49086*1, MCS
OKQ8, Ödeshög, "58°13'34.5""N 14°40'13.5""E", 400, SE*OKV*E258458, SE*OKV*E258458,
OKQ8, Ödeshög, "58°13'34.5""N 14°40'13.5""E", 400, SE*OKV*E273669, SE*OKV*E273669,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 400, SE*VIR*ERIFIL16, SE*VIR*ERIFIL16,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 400, SE*VIR*ERIFIL17, SE*VIR*ERIFIL17,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 400, SE*VIR*ERIFIL18, SE*VIR*ERIFIL18,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 400, SE*VIR*ERIFIL3, SE*VIR*ERIFIL3,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 400, SE*VIR*ERIFIL4, SE*VIR*ERIFIL4,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 400, SE*VIR*ERIFIL5, SE*VIR*ERIFIL5,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 400, SE*VIR*ERIFIL6, SE*VIR*ERIFIL6,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 400, SE*VIR*ERIFIL7, SE*VIR*ERIFIL7,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL1, SE*VIR*ERIFIL1,
Rifil, Malmö, "55°36'51.3""N 13°06'02.9""E", 240, SE*VIR*ERIFIL10, SE*VIR*ERIFIL10,
