international_ID,Charger station,Location,approx coordinates,Power,evse_uid,evse_id,comments,objectid
SWE_49016,Rifil Perstorp,"Verkstadsgatan 3B, 28434 Perstorp","56?8'1.8""N 13?23'17.0""E",,SE*VIR*E280943,SE*VIR*E280943,,2
SWE_49016,Rifil Perstorp,"Verkstadsgatan 3B, 28434 Perstorp","56?8'1.8""N 13?23'17.0""E",,SE*VIR*E280944,SE*VIR*E280944,,2
SWE_49016,Rifil Perstorp,"Verkstadsgatan 3B, 28434 Perstorp","56?8'1.8""N 13?23'17.0""E",,SE*VIR*E280961,SE*VIR*E280961,,2
SWE_49016,Rifil Perstorp,"Verkstadsgatan 3B, 28434 Perstorp","56?8'1.8""N 13?23'17.0""E",,SE*VIR*E280962,SE*VIR*E280962,,2
SWE_49016,Rifil Perstorp,"Verkstadsgatan 3B, 28434 Perstorp","56?8'1.8""N 13?23'17.0""E",,SE*VIR*E280963,SE*VIR*E280963,,2
SWE_49016,Rifil Perstorp,"Verkstadsgatan 3B, 28434 Perstorp","56?8'1.8""N 13?23'17.0""E",,SE*VIR*E280964,SE*VIR*E280964,,2
SWE_49016,Rifil Perstorp,"Verkstadsgatan 3B, 28434 Perstorp","56?8'1.8""N 13?23'17.0""E",,SE*VIR*E280965,SE*VIR*E280965,,2
SWE_49016,Rifil Perstorp,"Verkstadsgatan 3B, 28434 Perstorp","56?8'1.8""N 13?23'17.0""E",,SE*VIR*E280966,SE*VIR*E280966,,2
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141203,SE*VIR*E141203,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141204,SE*VIR*E141204,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141244,SE*VIR*E141244,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141375,SE*VIR*E141375,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141388,SE*VIR*E141388,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141389,SE*VIR*E141389,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141392,SE*VIR*E141392,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141395,SE*VIR*E141395,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141396,SE*VIR*E141396,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141397,SE*VIR*E141397,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141398,SE*VIR*E141398,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141399,SE*VIR*E141399,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141400,SE*VIR*E141400,,3
SWE_27991,Motorhalland Halmstad,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'23.1""N 12?47'47.5""E",,SE*VIR*E141632,SE*VIR*E141632,,3
SWE_28030,Motorhalland Halmstad CCS,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'21.6""N 12?47'38.2""E",,SE*VIR*E201204,SE*VIR*E201204,,3
SWE_28030,Motorhalland Halmstad CCS,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'21.6""N 12?47'38.2""E",,SE*VIR*E201205,SE*VIR*E201205,,3
SWE_28030,Motorhalland Halmstad CCS,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'21.6""N 12?47'38.2""E",,SE*VIR*E201207,SE*VIR*E201207,,3
SWE_28030,Motorhalland Halmstad CCS,"Bäckagårdsvägen 121, 30241 Halmstad","56?40'21.6""N 12?47'38.2""E",,SE*VIR*E201208,SE*VIR*E201208,,3
SWE_077603,Lundbygatan 11,"Lundbygatan 11, 62141 Visby","57?38'24.0""N 18?20'11.2""E",,5d881ec7d0f42cae92717bdb4e208466,SE*VAT*E15596,,5
SWE_077603,Lundbygatan 11,"Lundbygatan 11, 62141 Visby","57?38'24.0""N 18?20'11.2""E",,8476ffe0db27d610dabd171e0103f745,SE*VAT*E15597,,5
SWE_076236,Nässjö Terminalgatan | GITO,"Terminalgatan 7, 57134 Nässjö","57?40'40.1""N 14?41'20.2""E",,c-gJfZB8yGEt5,SE*GTO*EgJfZB8yGEt5,,6
SWE_076236,Nässjö Terminalgatan | GITO,"Terminalgatan 7, 57134 Nässjö","57?40'40.1""N 14?41'20.2""E",,c-IKvzukUwBns,SE*GTO*EIKvzukUwBns,,6
SWE_076236,Nässjö Terminalgatan | GITO,"Terminalgatan 7, 57134 Nässjö","57?40'40.1""N 14?41'20.2""E",,c-QdDGPUg3KbB,SE*GTO*EQdDGPUg3KbB,,6
SWE_076236,Nässjö Terminalgatan | GITO,"Terminalgatan 7, 57134 Nässjö","57?40'40.1""N 14?41'20.2""E",,c-S5TaFpXeHbK,SE*GTO*ES5TaFpXeHbK,,6
SWE_076236,Nässjö Terminalgatan | GITO,"Terminalgatan 7, 57134 Nässjö","57?40'40.1""N 14?41'20.2""E",,c-UkAuj3evBYM,SE*GTO*EUkAuj3evBYM,,6
SWE_076236,Nässjö Terminalgatan | GITO,"Terminalgatan 7, 57134 Nässjö","57?40'40.1""N 14?41'20.2""E",,c-x3FmK9biwDp,SE*GTO*Ex3FmK9biwDp,,6
SWE_082007,Göteborgs Hamn | GITO,"Ytterhamnsvägen 1, 41878 Göteborg","57?42'7.2""N 11?51'32.2""E",,p-4T6vKQktPHO,SE*GTO*E4T6vKQktPHO,,7
SWE_082007,Göteborgs Hamn | GITO,"Ytterhamnsvägen 1, 41878 Göteborg","57?42'7.2""N 11?51'32.2""E",,p-65zBa90gTqQ,SE*GTO*E65zBa90gTqQ,,7
SWE_082007,Göteborgs Hamn | GITO,"Ytterhamnsvägen 1, 41878 Göteborg","57?42'7.2""N 11?51'32.2""E",,p-HhS32AkmveG,SE*GTO*EHhS32AkmveG,,7
SWE_082007,Göteborgs Hamn | GITO,"Ytterhamnsvägen 1, 41878 Göteborg","57?42'7.2""N 11?51'32.2""E",,p-tg2fd4l5uco,SE*GTO*Etg2fd4l5uco,,7
SWE_21499,E00407 E00431  Falutorget,"Falutorget, 41104 Göteborg","57?43'3.3""N 11?58'52.6""E",,4c4bb0730a5c4113b0d46100,SE*GOE*E00407,,8
SWE_21499,E00407 E00431  Falutorget,"Falutorget, 41104 Göteborg","57?43'3.3""N 11?58'52.6""E",,544d721b4d19441fbb1d698a,SE*GOE*E00431,,8
SWE_47546,von Utfallsgatan 29,"von Utfallsgatan 29, 41505 Göteborg","57?43'56.6""N 12?3'10.6""E",,4391924,DK*MON*E4391924,,9
SWE_47546,von Utfallsgatan 29,"von Utfallsgatan 29, 41505 Göteborg","57?43'56.6""N 12?3'10.6""E",,4403836,DK*MON*E4403836,,9
SWE_076460,Marieholm,"Marieholmsgatan 84A, 41502 Göteborg","57?44'32.1""N 12?0'17.7""E",,3276719,DK*MON*E3276719,,10
SWE_076460,Marieholm,"Marieholmsgatan 84A, 41502 Göteborg","57?44'32.1""N 12?0'17.7""E",,3276727,DK*MON*E3276727,,10
SWE_076460,Marieholm,"Marieholmsgatan 84A, 41502 Göteborg","57?44'32.1""N 12?0'17.7""E",,3276728,DK*MON*E3276728,,10
SWE_076460,Marieholm,"Marieholmsgatan 84A, 41502 Göteborg","57?44'32.1""N 12?0'17.7""E",,3276731,DK*MON*E3276731,,10
SWE_081963,Göteborg Exportgatan | GITO,"Exportgatan 71, 42246 Hisings Backa","57?44'39.2""N 11?59'43.2""E",,p-AXkiYdmsqI3,SE*GTO*EAXkiYdmsqI3,,11
SWE_081963,Göteborg Exportgatan | GITO,"Exportgatan 71, 42246 Hisings Backa","57?44'39.2""N 11?59'43.2""E",,p-oRHcG1CStzb,SE*GTO*EoRHcG1CStzb,,11
SWE_081963,Göteborg Exportgatan | GITO,"Exportgatan 71, 42246 Hisings Backa","57?44'39.2""N 11?59'43.2""E",,p-pVvHONQL7bK,SE*GTO*EpVvHONQL7bK,,11
SWE_081963,Göteborg Exportgatan | GITO,"Exportgatan 71, 42246 Hisings Backa","57?44'39.2""N 11?59'43.2""E",,p-sti2KVohGSF,SE*GTO*Esti2KVohGSF,,11
SWE_58232,Grusåsvägen 3B,"Grusåsvägen 3B, 59362 Västervik","57?46'10.6""N 16?35'39.9""E",,016547d1008890da899e913733d79c7e,SE*VAT*EKEM*K0033567*1,,12
SWE_58232,Grusåsvägen 3B,"Grusåsvägen 3B, 59362 Västervik","57?46'10.6""N 16?35'39.9""E",,0cadfca6887503b8c123a8fba02d1fc6,SE*VAT*EKEM*K0033568*1,,12
